z,H_obs_km_s_Mpc,sigma_H,H_LCDM_km_s_Mpc,H_UCS_km_s_Mpc,w_LCDM,w_UCS,chi2_LCDM,chi2_UCS
0.51,83,4,89.3,88.0,-1.0,0.3293,2.47,1.49
0.71,97,4,100.9,100.1,-1.0,0.3859,0.95,0.59
0.95,123,8,116.5,116.1,-1.0,0.4382,0.66,0.75
1.10,137,7,127.2,126.9,-1.0,0.4644,1.94,2.06
1.50,192,16,158.6,158.4,-1.0,0.5176,4.50,4.53
2.33,225,18,234.8,234.8,-1.0,0.5842,0.23,0.23
